"inputTweet","score","sentiment"
"Two Pearls Black and White Pearl Ring Pave Setting Zircon Flower Design Fashion Statement Cocktail Ring… https://t.co/1Fbf3EFlip",0,"neutral"
"Pre-order Her in the legit link of amazon bighit tweeted",0,"neutral"
"Mens Engineer Problem Coffee Solution Tshirt, Funny Shirt 2XL Baby Blue #JoelOsteen #Gaga https://t.co/1hs5OZVxmQ via @amazon",-2,"negative"
"adult friend finderr full amazon nude movie https://t.co/JxX29eDcd9",0,"neutral"
"#NewRelease A Shot in the Dark by @LTaylorBook
A Caffeinated Cowboy Romance https://t.co/75kQ81cpBK
@RedCoat_PR https://t.co/MvpDFZhQww",-1,"negative"
"TensorFlow 1.x Deep Learning Cookbook
https://t.co/Dl2V6Reqpm https://t.co/VvaSkeUsCM",0,"neutral"
"'Fiery interactions, witty writing and two wonderful characters!'
Grab yourself a rogue knight… https://t.co/SBdLZ282eG",2,"positive"
"ODODOS High Waist, Tummy Control Tights For #Running, #Yoga &amp; Workouts. Several colors and patterns. Great Deal!… https://t.co/6rzQSSxeNd",1,"positive"
"@OptionsHawk I guess that ""analyst"" that said Best Buy has no need to exist in the age of Amazon is a moron!",0,"neutral"
"Game of Drones: The Battle of retail airships between Amazon and Walmart @qudrone1 https://t.co/0QIVgXxiw6 via @beBee #beBee @LanceScoular",-1,"negative"
"'I particularly enjoyed the scene where both women are spanked and caned. It really opened my eyes.'… https://t.co/lJbV4m8tRs",1,"positive"
"Mens Engineer Problem Tea Solution Tshirt, Funny Shirt 2XL Black Premium #JoelOsteen #Gaga https://t.co/Dy0kLRI0Fy via @amazon",-2,"negative"
"Can Devon protect his life and the life of the woman he loves? #romanticsuspense  @SamanthaCole222… https://t.co/i6dOi9nhMm",2,"positive"
"A Recipe for Love by Nicola Yeager. 'Loads of laugh-out-loud funny moments. Five stars!' https://t.co/FyRCR20bbC… https://t.co/UjEs9PaBBf",-1,"negative"
"“Superb book, witty, well written and an excellent insight into the paranormal."" https://t.co/rbSWBICVjh https://t.co/vifLXBQWuq",4,"positive"
"For better or worse, I was now Angella.#yafantasy #scifi ""This woman's still standing!"" https://t.co/YpVkRteZTe ""Gr… https://t.co/pYvJuDqpal",0,"neutral"
"Fairies and angels who are nothing like you'd expect, and a race to save the world... 
#yafantasy #yareads #fantasy… https://t.co/jjXboNwYOJ",1,"positive"
"Amazon area at centre of mining row ‘no paradise,’ Brazilian officials say
via @IrishTimes
https://t.co/PgNJxvhZaE",1,"positive"
"I entered a giveaway for a chance to win ""ililily Howel's Distressed Vintage Style embroid..."" by ililily. https://t.co/dHFlF9m4VI #giveaway",0,"neutral"
"@garbage Received your book yesterday from @Amazon!!
Have only browsed it so far, but it's GORGEOUS!!
Esp the red border &amp; photos!
WOW!!",2,"positive"
".#Amazon Cuts Whole Foods Prices as Much as 43% on First Day - Bloomberg #Foodie #homechef  https://t.co/6mpBpqgDeh",0,"neutral"
"@jackkinsella Hey, Jack! Is this book available in ePub format somewhere other than Amazon?",1,"positive"
"Mission Improbable (Carrie Hatchett, Space Adventurer Series Book 1)
https://t.co/aVumxIVwQE via @AmazonUK
Enjoyable Light comedy #scifi",-1,"negative"
"A gr8 review 4 a gr8 book. MADE SAFE by @writingsparks - #Crime #Mystery #Thriller - https://t.co/tZYgp4B21c  get it https://t.co/K4l4SU4YDx",1,"positive"
"SunTzu: To see the sun and moon is no sign of sharp sight.(4-10)

KINDLE&lt;The Art of War&gt;https://t.co/5KvOCDlbqb",1,"positive"
"Whole Foods just got a whole lot cheaper: https://t.co/L8gx34gDl4 https://t.co/CMhlw4i9o2",1,"positive"
"Mens Engineer Problem Tea Solution Tshirt, Funny Shirt 2XL Baby Blue Premium #JoelOsteen #Gaga https://t.co/RbWnM45Juw via @amazon",-2,"negative"
"Tales from the Quran and Hadith (City Plans) https://t.co/FzXZhCuFK0
You can buyvTales from the Quran and Hadith on… https://t.co/gDY3ETxmRU",0,"neutral"
"Attribution Modelling question of the day 
https://t.co/4zU6A2BaUv https://t.co/uiX15yDxgp",0,"neutral"
"Mens Engineer Problem Coffee Solution Tshirt, Funny Shirt 2XL Black Premium #JoelOsteen #Gaga https://t.co/bc3olfim3R via @amazon",-2,"negative"
"Will robots rule? Stephen Hawking: AI - the biggest event in human history - and the last? https://t.co/yIn5ZfLeLV… https://t.co/7hctc2ik2B",0,"neutral"
"9to5mac: Amazon Music Unlimited matches Apple Music deal for students, plus $1/mo promo https://t.co/6acCE9iVOd... https://t.co/zaWVyS9yYf",1,"positive"
"SALCOLL COLLAGEN Eye &amp; Lips Serum - Anti-Wrinkle Serum with Marine Collagen - Anti-Aging Serum to Help Reduce Aging https://t.co/C145fJrrC3",-1,"negative"
"The body count continues to rise? Will the FBI be able to stop it? REMNANTS https://t.co/oKJIJjmf99",0,"neutral"
"Phoenix Women Chiffon Boho Floral Print #Kimono Cover Up $13.49 https://t.co/vtmaxYZFTE via @amazon #fashion #style",0,"neutral"
"xanzig is looking for these items please give them to me!.  Winding Key, Silver... https://t.co/bwdmJ9ICIO https://t.co/Th5iCbGn6E",0,"neutral"
"#Hematite Cut Out #Dropbox #Earrings  for more details clicks here https://t.co/aDoK5JaW25 https://t.co/4a7rlhmPlQ",0,"neutral"
"ReadersGazette: RT ChrisKennedy110: ""My favorite yet!"" The Golden Horde https://t.co/PcADpii1c5 #newbook #aliens … https://t.co/gh9bWP5d3Q",1,"positive"
"Why You Should Be Skeptical of the Hyping of Whole Foods Under Amazon https://t.co/4ZG8zWKW4r / Exactly...",-1,"negative"
"@MarinaStrauss Let's hope that in addition to the price slashing Amazon starts tackling food waste, too. https://t.co/ikniRMLhZI",-2,"negative"
"# 1  #hot #newrelease Hard Rock Daddy Box Set #Free in Kindleunlimited #amazon #kindle #romance #books&gt;&gt;… https://t.co/QTq4UBzzTW",-1,"negative"
"There's not 1 but 3 5-star reviews at Readers' Favorite for @MegBonneyWriter's EVERLY https://t.co/5dgpZ15w7I Get it https://t.co/YSmd1mwrUj",1,"positive"
"A beautiful, self-reflective book by a #missionary in #China My Sea Is Wide by Rowland Evans https://t.co/LfTKNxp53p #inspirational #memoir",1,"positive"
"Enter this $250 Amazon gift card &amp; 100 C-OPS cases giveaway https://t.co/kFcGV8Hibq",0,"neutral"
"Out of Nowhere by Colin Andersen https://t.co/PrdOplgEiP via @amazon",0,"neutral"
"☀☀☀☀☀☀☀
Currently #1 BEST SELLER IN GERMANY!
TWO HEARTS SURRENDERED
@Tammysdragonfly
#IAN1
https://t.co/xiPJncKAXT https://t.co/T1aQxjxAj5",1,"positive"
"This is a cute gift for St. Patrick's Day or anytime! Buy here: 
https://t.co/NHnElRdRu4 https://t.co/CyGIhYHD57",1,"positive"
"#CRIME #VIGILANTE
@KarinaKantas
‡LAWLESS JUSTICE‡
EMPOWERED Women Rule the NIGHT
#ASMSG
https://t.co/BTNe56YM0M https://t.co/e7BaejhbOU",-1,"negative"
"News !! The North Korea missile tests arent what you think....Their testing Amazon delivery methods. Express delivery anyone ?? ;-) XxxX",0,"neutral"
"My Snapchats available £50 lifetime unlimited access Amazon UK auroraknightuk@gmail.com @DirkHooper @IrishFemdom… https://t.co/fMjesEfkL5",2,"positive"
"Fimo Flower and Imitation Pearl CZ Tragus Barbell 316L Surgical Steel Cartilage Bar Helix Piercing 16g… https://t.co/HAtx2yXx8c",0,"neutral"
"@c089 Not exactly 0€ but I recently started using https://t.co/HCv5X8TMhd and was surprised by it’s stability.",0,"neutral"
"i said bts wasn’t the first group to put their albums on amazon and spent the night fighting https://t.co/L6xUFLm0W0",0,"neutral"
"What do you mean, I can't buy Zyankali of amazon? Fuck it.",-1,"negative"
"Randy Wayne White-“Seduced”-The Dying Oranges #thriller #genetic #IARTG https://t.co/ubXL1YWFM2",-1,"negative"
"PERFECT GIFT! Texas Instruments TI-30XS MultiView Scientific Calculator https://t.co/cSpiGz7s3e",1,"positive"
"What You Need To Know About VMware Cloud On Amazon Web Services - Forbes https://t.co/LUC2QC6Sik",-1,"negative"
"ad: ROF Women's Leatherette Buckle Accent Knee High Riding Boots With Hidden Pocket - https://t.co/06e1JyBIRA #shoes https://t.co/1x8PrfaDY2",-1,"negative"
"Back
to School $250 Giveaway? Enter  to win a
$250 Amazon Gift Code or $250 in Paypal Cash!! https://t.co/DcpReljZRf",1,"positive"
"#FandomDeal - No Game, No Life Collector's Edition #anime DVD/BD is just $68! - https://t.co/0tHEKbQmxr https://t.co/QXqRdNSrQF",0,"neutral"
"Have you been charmed? What are you waiting for? It's a 5* #mustread #series https://t.co/H1W7GydmFo #HistFic… https://t.co/3k5JwU500s",-1,"negative"
"@nabisonyeolmae @alvionavia Bts is selling albums on amazon that count towards the charts",0,"neutral"
"#MotoAppQuiz 
Let once again try to claim this deal...Thank u amazon",1,"positive"
"@bts_bighit Oh yea I have amazon prime....bout to preorder 2 more albums 😌 The other I will order through iTunes, single separate",0,"neutral"
"OMG this t-shirt is HILARIOUS #Trumpkin #Donald #Trump #Halloween https://t.co/8M8QBvaff0 https://t.co/L40QjFlzG2 #giveaway",1,"positive"
"Amazon Kindle Fire HD Giveaway + Best Selling Book. https://t.co/TCEP5675ne via @",1,"positive"
"I have a NEED https://t.co/zE1Q9LCG33",0,"neutral"
"Cora’s a mail order bride, but a voice from the past upsets her best laid plans. CORA by Cynthia Woolf  https://t.co/LFWDxapqCE #audiobook",0,"neutral"
"On the bright side  https://t.co/g4LRQGvFcf  for her",1,"positive"
"★THE MIGRANT★
✔https://t.co/tBzplWnXic

https://t.co/M2mvo3uDNb @MasonNForbes #ASMSG #BookBoost #goodreads",0,"neutral"
"Web Development With Clojure: Build Bulletproof Web Apps With Less Code here  https://t.co/6xBXWqaM96 #jquery @wordpressbot_",0,"neutral"
"5 #stories set on the #moon ""A Cabin Under a Cloudy Sea and other stories"" @amanfewwords #Kindle for $0.99. https://t.co/QI6pRywjwi #scifi",-1,"negative"
"Essential https://t.co/q1aVRgXlZB With Examples In Visual Basic .net here  https://t.co/OiF2WCAYwA #html @wordpressbot_",0,"neutral"
"Garden party  https://t.co/Ks05BPbE9g  gucci for men",0,"neutral"
"I joined the #coconut water evolved #giveaway by @drinkdetach https://t.co/H4E3tbXGPb&lt;giveawayID&gt; #fitness https://t.co/6HDvQ1JAn8 #giveaway",0,"neutral"
"""The pain that Chelsea experiences in this story is raw and real."" https://t.co/Z3TuaGRUAo #fiction @nmukoso",-1,"negative"
"WOLFSBANE BREW (THE AMAZING WOLF BOY BOOK 3) is in the top 9% of Fantasy books on Amazon! https://t.co/Vwh8nrO0tR #werewolves",2,"positive"
"Youtube for Beginners: The Complete Guide for Aquiring an Audience 📕 ►https://t.co/Gsp9x5OhfC 👈 https://t.co/qaJhSUQqiZ",0,"neutral"
"@aaronosborne33 @KydeandEric weird. they blue here, in a US distributed game. wonder how sega messed up… https://t.co/wDfuSfsbTW",-1,"negative"
"Flying high  https://t.co/D3ufFKmLuV  *",0,"neutral"
"Puppets  https://t.co/TDttyG3COv  in=",-1,"negative"
"I entered a giveaway for a chance to win ""Harness Bra,Jelinda Women Punk Criss Cross Cage ..."" by Jelinda. https://t.co/Vk2shpgBnw #giveaway",0,"neutral"
"European Supermarket Stocks Extend Declines After Amazon Cuts Whole Foods Prices https://t.co/Pj1jeYlzmt via @TheStreet",-1,"negative"
"Quirky and peculiar: Unusual customs snapped in the '70s by photographer Homer Sykes  https://t.co/ipngUYuL5u  elyts",-2,"negative"
"Obviously I can understand why y'all in the US would want to pre order officially for the Amazon chart position",0,"neutral"
"Amazon owning Whole Foods just means you all can see my adorable cousin on the World Wide Web. https://t.co/jyfkWHVrIi",1,"positive"
"Alberta's night sky spectacular photography  https://t.co/xjaiz0Y6A6 via @amazon  a taster",1,"positive"
"Amazon Music Unlimited matches #Apple Music deal for students, plus $1/mo promo https://t.co/zyqcHE6rnc https://t.co/crTjawFIbp",1,"positive"
"@Cooper00Nicola Turn the Ship Around @ldavidmarquet

'What is your recommendation?'

'I accept your recommendation'

https://t.co/pRuXAwXyz5",2,"positive"
"@aberlourbear @DavieH1888 @chris_sutton73 They were at least £6 and hand delivered by an Amazon peon three minutes after ordering.",0,"neutral"
"#MarkPlanTeach just keeps giving! Loving the IDEA SNAPSHOTS offering great suggestions &amp; opportunities to reflect… https://t.co/oY99c8gdKJ",2,"positive"
"#Gold Color #Crystal Stud #Earring for more details click here  https://t.co/bgDEwk7RsK https://t.co/7GgIEt5YTd",0,"neutral"
"#mustread Historical Fiction!
EMBRACE THE WIND: An Historical Novel of the American West 
https://t.co/tr9thMS2qk… https://t.co/H1QwYymnqA",-1,"negative"
"Find #FREE #Readsamples in different genres!
https://t.co/Gb7YbclV1p
#memoir #children #fiction #nonfiction #amazon… https://t.co/dMkrlJCuc2",0,"neutral"
"When a dark angel earns his freedom MMA seems the logical career choice. https://t.co/GxmMhfMr97 #Paranormal",2,"positive"
"Leelou (Lmc Remix) by Converge - Listen at https://t.co/f0gCsCOljy
 - Buy It https://t.co/xAYEP1nyyO) https://t.co/Zko8xG495L",0,"neutral"
"Love a good scare? Experience The Stranger, a #horror anthology, featuring my story The Cemetery Guardian.… https://t.co/Vi6rfKVHsy",0,"neutral"
"By 2293 the world?s population dropped to eight billion  (Read the book; search for HHcSS on Amazon)",0,"neutral"
"Fresh up your Cap mit dem neuen Cap Cleaner Spray von Cap Buddy... for Brilliant Baseball Caps :-)

Einmaliges... https://t.co/DPUqSThjzZ",3,"positive"
"Photographer's journey across segregated 1960s US  https://t.co/g4LRQGvFcf  for her",0,"neutral"
"@alvionavia Lmfao ikr like wtf now amazon? Fr like they trying hard to get that 1m sales",0,"neutral"
"Amazon: Up to 45% off Mentos Gum, Pure Fresh Mint, 50-Count (Pack of 6) https://t.co/lXIr1PGJyO https://t.co/ohxU55UVvR",2,"positive"
"Amazon slashes prices at Whole Foods by up to 43% on first day — and that's not all - Financial Post https://t.co/POZLmKKifL #finance #bus…",0,"neutral"
"@Rainbowlunakai ""Ref Link""  😄 https://t.co/yx7fOCKeCr",0,"neutral"
"The Traveling Salesman Returns (C/O Amazon And Best Buy) https://t.co/gzBtGhP6W0 #payments https://t.co/TkbRtOscbl",1,"positive"
"Solar eclipse 2017  https://t.co/Ks05BPbE9g  gucci for men",0,"neutral"
"Making #organic affordable? Amazon cuts prices @WholeFoods by as much as 43% https://t.co/cM3eOI7CCE",1,"positive"
"is there a way to order 4-album set in Amazon? — Not yet the others where you see the whole set is f... https://t.co/9rmPXsZxYG",0,"neutral"
"I entered a giveaway for a chance to win ""Qubel Men's RFID Blocking Wallet - Super Sli..."" by QubelSecure. https://t.co/7bBSisH7tD #giveaway",2,"positive"
"Today is the last day to get FANTASTIC SECRETS BEHIND #FANTASTICBEASTS for FREE on #Kindle! https://t.co/53YvijtFyv… https://t.co/to4mAXWYSj",2,"positive"
"As usual you can support these pure Futabas and get the book imported in Japanese only from here https://t.co/FoP6TygwzT",2,"positive"
"#ListeningTo #Absolute80s Soft Cell - Tainted Love. Buy it here: https://t.co/7zgOXJtOYv #80sMusic #my80s 🎧 https://t.co/FnO9p9zQ1J",1,"positive"
"Nigeria's Egungun festival: Colour, culture and community  https://t.co/D3ufFKmLuV  *",0,"neutral"
"@ineedsomejhope I HAD AN AMAZON GIFTCARD LEFT OVER AHHH",0,"neutral"
"Gillette Fusion Manual Men’s Razor Blade Refills, 12 Count, Mens Razors / Blades https://t.co/6WkEEZJMSc https://t.co/IoJolZVRDI",0,"neutral"
"SALCOLL COLLAGEN Pure Collagen Cream - 100% Natural Anti-Aging Face Cream with Marine Collagen &amp; Essential Proteins. https://t.co/OePtqq6eac",1,"positive"
"The Go-Giver: A Little Story About a Powerful Business Idea - https://t.co/TMtxuJA5nz #sales #salestip",1,"positive"
"'I made a hole in the roof'  https://t.co/TDttyG3COv  in=",0,"neutral"
"Amazon cuts prices at Whole Foods by as much as 43% https://t.co/2fO3hK7U8N via @technology",0,"neutral"
"Fall In Love All Over Again...#romance
#RomanceWriter #Romantic #mustread #kindle  @AuthorPhilVega… https://t.co/xeFmWGkrTc",0,"neutral"
"The History of Gardens in Painting https://t.co/8pXEdB2lCo https://t.co/Tpz2UbO9mz",0,"neutral"
"New Look Women's Neon Cross Stitch Playsuit, Black, 10 New Look https://t.co/fCTIYavQVB via @AmazonUK",0,"neutral"
"Where Rainbows End
Can she hold on to her dreams?
Kobo https://t.co/B72M1Ik9ls 
iBooks https://t.co/M3KXyQ1iKX… https://t.co/hOION5BXVE",0,"neutral"
"#TuesdayMotivation she now dug a her hole deeper https://t.co/c2m9uHPY62 #TuesdayMotivation @realDonaldTrump @kathygriffin #kathygriffin",0,"neutral"
"@KayaJones @amazon You keep it up girl I'm crazy about you and what you stand for and I've already told everybody to buy you albums",-1,"negative"
"Africa's week in pictures: 18 - 24 August 2017  https://t.co/xjaiz0Y6A6 via @amazon  a taster",0,"neutral"
"@goodreads Well if you wanna read a new FREE drama Thriller just released then get it now https://t.co/d6jWeh5leG",2,"positive"
"amazon girl naked naked ex girlfrend in australia https://t.co/VSOWDtr9IF",0,"neutral"
"Amazon's purchase of Whole Foods immediately pays dividends: https://t.co/PPrGgZh4JF",0,"neutral"
"Remy faces an ordeal that threatens to strip him of everything https://t.co/O5Cazk4nM8 #TriciaMcGill https://t.co/Kswuc3eD5Q",-1,"negative"
"New Giveaway Chance to Win $50 ebay or amazon card https://t.co/BOYaViC9yZ #amazon #giveaway #freegiveaway #share #win",1,"positive"
"Probably going to give this one a try.  Seat goes up to 24"" and is rated for up to 300 pounds.

https://t.co/KBy3nlBTaV",0,"neutral"
"Amazon Go https://t.co/7LWVNlJecW",0,"neutral"
"Y'all so pressed lmao #Love_Yourself and Pre-order Her on Amazon 😍😘 https://t.co/AktMs70kkm",0,"neutral"
"Princess would love this in her lounge , who fancies spoiling me https://t.co/NI3p5Pg64q  xx https://t.co/pwgoqngtvy",1,"positive"
"#np 🎶 A Second Time by Spinger #chill #downtempo
 - Buy it https://t.co/WVeNul7JWJ https://t.co/nqeBXmTLYn",0,"neutral"
"Now Playing on KCEG_ Bradley's Song by The Crak Pots Listen at https://t.co/OfF3QMRX0t
 - Buy it https://t.co/ExvMb9Rj7A",0,"neutral"
"#nowplaying This Must Be Love by @Incognito_world #listen via https://t.co/f5MtoKaYX9
 - Buy it… https://t.co/ANlV1hsQjj",1,"positive"
"#NowPlaying Air [Radio Version] by ID MM Listen to https://t.co/JsdXjQp0lc
 - Buy it https://t.co/bRvJI1SnSC https://t.co/zY907JiHaw",0,"neutral"
"Now Playing Public Service Bell Missing cat Listen at https://t.co/2US0n9Cx6Q
 - Buy it https://t.co/Q9FNIffQxF https://t.co/BqlvOSI0H7",0,"neutral"
"I just entered for a chance to win ""ProxView Smart WIFI Camera, HD 720p from https://t.co/2IjCSyr5XR! https://t.co/QmVls8HwFk #giveaway",2,"positive"
"EPISODE 4: OF COST AND CONSEQUENCE (PP. 381). #THEHEARTTRAIN ❤️🚂 @JermaineWatkins #Author #Christian #AmWriting… https://t.co/RicpdzKhJy",0,"neutral"
"@iamrana Are they going to be on Amazon? Kids and adults at our home would love to read these books.",1,"positive"
"Check out our @redspottedhanky Journey Planner from @WorldlineGlobal https://t.co/D4ysm09Pof #voicefirst #alexa… https://t.co/gjFkWAXlhM",0,"neutral"
"I've been wanting to try out these iPhone lens' and they are on flash sale! (The black one is $5 less)… https://t.co/jiY6ai1Yws",0,"neutral"
"@Idubbbz No one gives 2 shits about you opening dildos from amazon. Content Cop needed.",0,"neutral"
"#GiveAdviceToGenZ will never no here https://t.co/c2m9uHPY62 #TuesdayMotivation @realDonaldTrump #Republicans @kathygriffin #kathygriffin",0,"neutral"
"An addict in the family? https://t.co/9cHtpk16IO  Where to turn? Getthis book today. Uncontrollable Addict by Wendell Montney.",-1,"negative"
"""Allow yourself to be on a journey of discovering who you are."" #quote https://t.co/LQg08Tp1fN",0,"neutral"
"#NowPlaying Al Rea - Sweet Around Me :: Tune In : https://t.co/pgEXTV3oio
 - Buy It https://t.co/xBjeOLFsnh https://t.co/tSbPV7HeTg",1,"positive"
"CHECK THIS OUT! 4M Easy-To-Do French Knitting Yarn Butterfly Kit https://t.co/6QjVj5xFot",1,"positive"
"Whole Foods slashes prices on some produce, also selling Amazon's Echo https://t.co/ZXIUg2jaHQ",0,"neutral"
"GET EACH OF THESE STANDALONE #ROMANCES FOR JUST #99CENTS EA! #KindleUnlimited #KU #99pennies #iartg #ian1 #MFB804… https://t.co/1fyerlsU3u",0,"neutral"
"#Win $25 Amazon + 2 #Rare ebooks! #Coletti #Warlords #SciFi #Romance #Alien #BookTour #Giveaway @Askole https://t.co/bdILU7ZhEj",0,"neutral"
"Lily Scott married her best friend's brother, Henry Dalton. https://t.co/Hf0MUJbuIW #romance via @tammylbailey",1,"positive"
"I finished reading ""Mindset"" by Carol Dweck. Game-changing information, if applied.
https://t.co/FijYEgduIe",0,"neutral"
"dailym.ai: 'Pensioners be given Amazon Echos for medication reminders' https://t.co/iVG1S7A0Gw",0,"neutral"
"Classic Book updated for 2015: Men of the Battle of Britain https://t.co/4nl2CSBMLv https://t.co/fE4WinKrf8",1,"positive"
"@sowmashok Yes it is! https://t.co/3jMsLPkcbi",0,"neutral"
"Hi,I entered a giveaway for a great gaming mouse,here's the link: https://t.co/dUNgMbQmin https://t.co/tgeaonbk97 #giveaway",1,"positive"
"Dystopia by @DJCooper2015
""a down-to-Earth, true to life, prepper plot.""
https://t.co/LjlvOuaujZ
#Bookboost #IARTG #ASMSG",-1,"negative"
"@hughbumble @Totalbiscuit I'v been thinking about how to make one of those with models from Amazon (the ones you gl… https://t.co/UfnLSI55wR",0,"neutral"
"Run the Jewels 3 [Explicit] by Run The Jewels on Amazon Music https://t.co/dZsbtX1nST #AmazonMusic",0,"neutral"
"BESTEK for reviewing pressure cooker on social media @bestekglobal https://t.co/eexI4D6Xqb https://t.co/7wT6lZjN0W https://t.co/KkNDfVaBlK",0,"neutral"
"Win a $100 #Amazon #giftcard #giveaway to celebrate the #99cents Fire &amp; Fantasy box set! https://t.co/32JaTe5zA4 https://t.co/5zb8kRNiFI",2,"positive"
"Nature gave Brazil so much and now the thugs in- Brazil opens massive reserve in Amazon for mining https://t.co/wHbZpoMM0I",0,"neutral"
"Electrifying, dangerous, provocative...#VIGOR by @AuthorJCV is #LIVE! https://t.co/mumONYBgYX #SpartanRiders https://t.co/xbCjcZAvYY",-2,"negative"
"#ExploreTheTimeInBetween with @KristenAshley68 &amp; order a copy today! https://t.co/O5ahPGJRZh https://t.co/z2yv7aagSw https://t.co/8cJDneBrsK",0,"neutral"
"📷 Final Exam DVD from Amazon https://t.co/VKFMPJCCty",0,"neutral"
"@AbileneVegeta I just wanted to let you know that all my books are available here: https://t.co/fVzEXFkO1E including my latest book Serial K",1,"positive"
"Enter to win a $100 Amazon gift card from Thought &amp; Sight blog! https://t.co/dvMzbctr87",1,"positive"
"Blackbirds Baked In A Pie: Memories of Rozinante by Eugene Barter https://t.co/n3t8b0eukX #France #Pyrenees #memoir",0,"neutral"
"'Outdated ideas' keeping women out of building industry  https://t.co/D3ufFKmLuV  *",0,"neutral"
"Free ebook https://t.co/XDeJW13WJJ https://t.co/lS3163IC91?",1,"positive"
"Need a good #audio #headphone ? Shop this list https://t.co/9aLvGqxnYr  for top 10 in #electronics #earbuds",1,"positive"
"More Tenby Tudor Merchant House wall paintings found  https://t.co/TDttyG3COv  in=",0,"neutral"
"SALCOLL COLLAGEN Face &amp; Neck Gel - All Natural Anti-Aging Gel to Reduce Wrinkles, Fine Lines &amp; Repair Damaged Skin. https://t.co/3XZpjgV5NA",-1,"negative"
"REIT_Tweets: RT REITs_NAREIT: Westfield goes digital with in-mall ads - https://t.co/OY9quZySmS",0,"neutral"
"You are a lamp of liberty, a shining beacon for all to see. Glow brighter, shine bigger: https://t.co/8rehdnVNtj #tcot #pjnet #tgdn",4,"positive"
"Manager,#Engagement Marketing,Amazon #Music at #AmazonIndia (#Mumbai) #job https://t.co/dicCAQ78Tc https://t.co/tyMJX0Xlie",0,"neutral"
"An enjoyable journey into a refreshingly original world: On Matissia Wings @MarieJSPhillips https://t.co/3yZRqpUiQy https://t.co/xQDpDVYPdU",1,"positive"
"Single parents 'blocked' from politics due to childcare  https://t.co/ipngUYuL5u  elyts",0,"neutral"
"I'm at Amazon Angkor Restaurant in Siem Reap https://t.co/05m8FucPsu",0,"neutral"
"Wow! I just entered for a chance to win ""ieGeek Keyboard Cleaning Gel (4PCS) + Storage Box ..."" by ieGeek. https://t.co/zVHzciuRF3 #giveaway",2,"positive"
"@AmazonHelp Pls Speed up the process, fed up of your excuses . Not at all happy with amazon !",0,"neutral"
"Bonded by an old #secret. #Fate reunites them to keep another https://t.co/D25jTCLjsX #asmsg #iartg #amreading… https://t.co/3JWL4570E0",0,"neutral"
"Brexit 'could dent' affordable housing plan in Wales  https://t.co/xjaiz0Y6A6 via @amazon  a taster",0,"neutral"
"Wow! New Arrival RUVALINO Laptop Baby Diaper Backpack Multifunction. Let's take the chance to win!!!!! https://t.co/J0niXqk3D4 #giveaway",2,"positive"
"Carcassonne Board Game $18.52 at  https://t.co/jP0Yt72aR7 https://t.co/jeUygMLfSg",0,"neutral"
"As Amazon completes WF acquisition &amp; cuts prices…
P&amp;G wants to cut $2B from its $7.1B ad budget over 5 yrs https://t.co/RMvE174ruY",0,"neutral"
"Pigeon Joy Rice Cooker 1.8L Rs.1399 @Amazon https://t.co/qkHanOBzxO",1,"positive"
"#healthtech #medtech Athelas launches a new type of blood testing device for the home https://t.co/HMcAnl5sjV via @techcrunch",0,"neutral"
"Pigeon Joy Rice Cooker 1.8L Rs. 1399 – Amazon https://t.co/5qhKretNIy",1,"positive"
"Gaggle_K12: RT amandaklinger: Have you listened to our podcast for a chance to win an Amazon giftcard? You still have a week to enter …",1,"positive"
"#Office
The hero finds his purpose
the anti-hero goes to the wrong Donnington for a concert  
in the UK read here… https://t.co/R7GHPyN73c",1,"positive"
"Country House Collection 8' x 8' Mini Burla... by The Country House Collection for $10.95 https://t.co/A9rnTaWPhC https://t.co/tJPt5dHS1w",0,"neutral"
"Women's Health - see the Top Ten Best Seller Books https://t.co/YtUBEP5z83",2,"positive"
"Can Abby and Sam fight their way through the danger and violence and live long enough to find love? https://t.co/KnTIbUAUDL #amreading",1,"positive"
"It’s a #mystery how she got there https://t.co/pdxscbu4UH #asmsg #iartg @jwadewrites https://t.co/6OXBX0aW1X",0,"neutral"
"#RT #ELEV8TINDIES 
A #mustread #book for Indie Authors
All you need
From The Book Khaleesi, Eeva Lancaster
🔗… https://t.co/XckRR3JNcz",0,"neutral"
"★ ☆ ★ NEW RELEASE ★ ☆ ★

Disorderly Conduct: The Academy by Tessa Bailey 

Amazon ~ https://t.co/3YdK0f6fsO

#NewRelease #live",-1,"negative"
"The Luo Collaterals: A Handbook for Clinical Practice and Treating Emotions, The Shen &amp; The Six Healing Sounds. https://t.co/ltG52JVI01",0,"neutral"
"sxs boy hot fre amazon tall muscle girl porno movie https://t.co/C8ikdvcEOW",1,"positive"
"Fun for Edu:#Physicis #Edu Solar Mechanics Expe https://t.co/XVPM9H9CTS https://t.co/nLcp9wKEwT",1,"positive"
"dante makes fun of me for amazon gift cards?",1,"positive"
"Get 100 LolliZ Gel Pens for $9.99!

https://t.co/rzZCy6oDte https://t.co/rsRQ5Bg8tL",0,"neutral"
"EPIC 8 NOVEL SERIES filled with scorching IMMORTAL PASSION
https://t.co/ZKlGzLfjNv
#ParanormalRomance… https://t.co/zAU61Dn83p",0,"neutral"
"Amazon Web Services, Inc. https://t.co/FVky75MoGr",0,"neutral"
"Cardiff's ActiveQuote creates 70 new jobs with £2m investment  https://t.co/g4LRQGvFcf  for her",0,"neutral"
